"Shelf No.","Warehouse Code","Customer Code","Sub-wh. code","Zone Code","Sku Code","Available Qty.","pending shipped Qty.","Putaway time","Stock Type",Length,Width,Height,Wt,库位类型描述
564-008E,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A00650,5,0,"2021-09-29 11:08:25",Standard,71.00,71.00,20.00,20.900,英国仓卡板区库位
564-008F,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0060A,4,0,"2021-09-29 11:15:11",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
564-009B,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0061A,4,0,"2021-07-07 15:58:09",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
564-009C,UK,G536,UK-5,UK-5PHIGH-P,MP000000000010405,7,0,"2021-03-05 11:43:01",Standard,45.00,30.00,20.00,2.000,英国仓卡板区库位
564-009D,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0060B,4,0,"2021-07-07 15:54:12",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
564-009E,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0063A,4,0,"2021-09-29 11:19:18",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
564-009F,UK,G536,UK-5,UK-5PHIGH-P,MP000000000002611,81,0,"2020-11-27 23:38:30",Standard,25.50,22.00,10.50,0.980,英国仓卡板区库位
564-009G,UK,G536,UK-5,UK-5PHIGH-P,MP000000000010226,105,0,"2021-08-02 16:33:12",Standard,25.20,24.70,10.30,0.425,英国仓卡板区库位
564-010B,UK,G666,UK-5,UK-5PHIGH-P,G666-G13004027,27,0,"2021-07-29 10:58:13",Standard,67.00,52.50,15.00,14.390,英国仓卡板区库位
564-010C,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0060B,4,0,"2021-07-07 16:13:34",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
564-010G,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0060A,4,0,"2021-09-29 11:21:43",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
564-011B,UK,G666,UK-5,UK-5PHIGH-P,G666-Y00326,40,0,"2021-08-13 08:34:09",Standard,80.00,26.50,13.00,1.458,英国仓卡板区库位
564-011C,UK,G2425,UK-5,UK-5PHIGH-P,G2425-GY-1342-FUR-PINK,3,0,"2021-08-20 11:20:44",Standard,70.00,53.00,52.00,10.040,英国仓卡板区库位
564-011E,UK,G4527,UK-5,UK-5PHIGH-P,G4527-EBF25BZ01UK,63,0,"2021-08-13 08:31:01",Standard,72.50,41.00,7.10,5.700,英国仓卡板区库位
564-011F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:37:32",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-011G,UK,G666,UK-5,UK-5PHIGH-P,G666-G13003873,9,0,"2021-07-29 11:15:05",Standard,92.50,91.80,6.40,38.010,英国仓卡板区库位
564-012B,UK,G4527,UK-5,UK-5PHIGH-P,G4527-EBF17BZP201UK,1,0,"2021-08-13 08:10:04",Standard,71.00,40.00,7.00,6.700,英国仓卡板区库位
564-012C,UK,188,UK-5,UK-5PHIGH-P,188-3152816,12,0,"2021-01-20 06:19:25",Standard,53.00,47.00,4.00,0.820,英国仓卡板区库位
564-012D,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0062B,4,0,"2021-07-07 16:03:52",Standard,84.00,71.00,49.00,18.800,英国仓卡板区库位
564-012E,UK,G3792,UK-5,UK-5PHIGH-P,G3792-B1A109BS0M,1,0,"2020-10-20 18:07:54",Standard,63.00,52.00,28.00,7.000,英国仓卡板区库位
564-012F,UK,G1080,UK-5,UK-5PHIGH-P,G1080-UK-BCHB041,20,0,"2021-07-29 11:11:42",Standard,53.00,53.00,23.00,8.980,英国仓卡板区库位
564-012G,UK,G1080,UK-5,UK-5PHIGH-P,G1080-UK-BCHB041,20,0,"2021-07-29 11:08:59",Standard,53.00,53.00,23.00,8.980,英国仓卡板区库位
564-013C,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:36:05",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-013D,UK,G679,UK-5,UK-5PHIGH-P,G679-GB-JY33809,21,0,"2020-10-20 18:16:12",Standard,83.00,40.00,15.00,10.500,英国仓卡板区库位
564-013E,UK,G536,UK-5,UK-5PHIGH-P,M010000000001738271,48,0,"2021-01-24 00:22:02",Standard,32.00,28.00,23.00,1.900,英国仓卡板区库位
564-013F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13002263,26,0,"2021-07-29 10:55:06",Standard,96.00,39.00,11.00,13.560,英国仓卡板区库位
564-013G,UK,G536,UK-5,UK-5PHIGH-P,M010000000001144866,23,0,"2021-07-28 16:47:13",Standard,21.00,14.00,11.00,0.301,英国仓卡板区库位
564-014C,UK,G4875,UK-5,UK-5PHIGH-P,G4875-TPRMWC20120004,8,0,"2021-03-21 16:08:21",Standard,68.00,59.00,52.50,23.010,英国仓卡板区库位
564-015B,UK,G433,UK-5,UK-5PHIGH-P,G433-7704741322,216,0,"2021-01-08 02:24:33",Standard,23.00,17.00,17.00,0.310,英国仓卡板区库位
564-015C,UK,G666,UK-5,UK-5PHIGH-P,G666-13029383,48,0,"2021-03-12 19:39:35",Standard,26.00,26.00,20.00,3.900,英国仓卡板区库位
564-015E,UK,G536,UK-5,UK-5PHIGH-P,M010000000001007865,35,0,"2021-02-15 06:18:03",Standard,23.00,23.00,9.00,1.486,英国仓卡板区库位
564-016C,UK,G1091,UK-5,UK-5PHIGH-P,G1091-XH202003002,53,0,"2020-10-20 18:47:45",Standard,46.20,45.20,4.80,1.240,英国仓卡板区库位
564-016D,UK,G666,UK-5,UK-5PHIGH-P,G666-Y00326,40,0,"2021-08-13 08:50:03",Standard,80.00,26.50,13.00,1.458,英国仓卡板区库位
564-016E,UK,G666,UK-5,UK-5PHIGH-P,G666-G13002274,26,0,"2021-07-29 10:47:53",Standard,95.00,41.00,13.00,9.500,英国仓卡板区库位
564-016F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000063,60,0,"2021-01-21 14:12:32",Standard,52.00,26.00,12.50,3.500,英国仓卡板区库位
564-016G,UK,G1091,UK-5,UK-5PHIGH-P,G1091-XH201806007,72,0,"2020-10-26 20:45:58",Standard,57.50,15.50,7.50,1.240,英国仓卡板区库位
564-017B,UK,G679,UK-5,UK-5PHIGH-P,G679-GB-JY33809,26,0,"2020-10-21 12:10:15",Standard,83.00,40.00,15.00,10.500,英国仓卡板区库位
564-017C,UK,G666,UK-5,UK-5PHIGH-P,G666-Y00326,40,0,"2021-08-13 08:53:00",Standard,80.00,26.50,13.00,1.458,英国仓卡板区库位
564-017D,UK,G536,UK-5,UK-5PHIGH-P,M010000000000992684,70,0,"2021-03-05 12:05:00",Standard,60.70,55.00,5.30,1.157,英国仓卡板区库位
564-017F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13002274,26,0,"2021-07-29 10:45:08",Standard,95.00,41.00,13.00,9.500,英国仓卡板区库位
564-017G,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0061A,4,0,"2021-07-07 16:01:19",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
564-018B,UK,G536,UK-5,UK-5PHIGH-P,M010000000000311303,50,0,"2020-10-17 17:19:11",Standard,43.00,35.50,11.50,4.960,英国仓卡板区库位
564-018C,UK,G666,UK-5,UK-5PHIGH-P,G666-G85000088,78,0,"2021-01-21 12:41:29",Standard,46.00,32.00,4.00,2.200,英国仓卡板区库位
564-018E,UK,G666,UK-5,UK-5PHIGH-P,G666-G13002274,28,0,"2021-07-29 10:42:43",Standard,95.00,41.00,13.00,9.500,英国仓卡板区库位
564-019C,UK,G1091,UK-5,UK-5PHIGH-P,G1091-OBZW202005009,11,0,"2020-10-21 12:27:05",Standard,110.00,35.50,12.00,6.500,英国仓卡板区库位
564-019F,UK,G3809,UK-5,UK-5PHIGH-P,G3809-DT1-PK-L,17,0,"2020-10-24 14:16:43",Standard,55.00,42.00,7.00,2.500,英国仓卡板区库位
564-019G,UK,G536,UK-5,UK-5PHIGH-P,M010000000001617476,87,0,"2020-10-26 20:32:12",Standard,36.00,36.00,6.00,1.700,英国仓卡板区库位
564-020B,UK,G536,UK-5,UK-5PHIGH-P,MP000000000004394,24,0,"2020-11-27 23:05:33",Standard,77.00,54.00,7.00,4.400,英国仓卡板区库位
564-020C,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:33:23",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-020E,UK,G4875,UK-5,UK-5PHIGH-P,G4875-TPRMWC20120006,8,0,"2021-03-21 16:14:28",Standard,69.00,58.00,51.00,22.330,英国仓卡板区库位
564-020F,UK,G536,UK-5,UK-5PHIGH-P,M010000000002581045,70,0,"2021-02-26 05:07:08",Standard,51.50,16.50,10.00,1.340,英国仓卡板区库位
564-021B,UK,G666,UK-5,UK-5PHIGH-P,G666-G13002274,26,0,"2021-07-29 10:34:01",Standard,95.00,41.00,13.00,9.500,英国仓卡板区库位
564-021D,UK,G536,UK-5,UK-5PHIGH-P,M010000000000324955,88,0,"2021-03-23 01:49:01",Standard,29.00,16.00,7.00,0.500,英国仓卡板区库位
564-021E,UK,G4875,UK-5,UK-5PHIGH-P,G4875-TPRMWC20120004,8,0,"2021-03-19 23:26:15",Standard,68.00,59.00,52.50,23.010,英国仓卡板区库位
564-021F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13002274,26,0,"2021-07-29 10:31:15",Standard,95.00,41.00,13.00,9.500,英国仓卡板区库位
564-022D,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0060B,4,0,"2021-07-07 16:15:43",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
564-022G,UK,G1080,UK-5,UK-5PHIGH-P,G1080-UK-BCHB041,20,0,"2021-07-29 10:26:35",Standard,53.00,53.00,23.00,8.980,英国仓卡板区库位
564-023C,UK,G666,UK-5,UK-5PHIGH-P,G666-G13002274,26,0,"2021-07-29 10:23:56",Standard,95.00,41.00,13.00,9.500,英国仓卡板区库位
564-023D,UK,G666,UK-5,UK-5PHIGH-P,G666-G85000088,26,1,"2021-01-21 12:37:08",Standard,46.00,32.00,4.00,2.200,英国仓卡板区库位
564-023G,UK,G1080,UK-5,UK-5PHIGH-P,G1080-UK-BCHB041,20,0,"2021-07-29 10:18:42",Standard,53.00,53.00,23.00,8.980,英国仓卡板区库位
564-024B,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:23:48",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-024C,UK,G1080,UK-5,UK-5PHIGH-P,G1080-UK-BCHB041,20,0,"2021-07-29 10:16:47",Standard,53.00,53.00,23.00,8.980,英国仓卡板区库位
564-024D,UK,G536,UK-5,UK-5PHIGH-P,M010000000001506130,219,0,"2021-02-14 09:37:22",Standard,22.00,14.00,5.00,0.400,英国仓卡板区库位
564-024E,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:31:41",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-024F,UK,188,UK-5,UK-5PHIGH-P,188-3152836,13,0,"2021-01-20 06:11:43",Standard,53.00,48.00,6.00,0.820,英国仓卡板区库位
564-024G,UK,G1080,UK-5,UK-5PHIGH-P,G1080-UK-BCHB041,20,0,"2021-07-29 10:13:34",Standard,53.00,53.00,23.00,8.980,英国仓卡板区库位
564-025C,UK,G536,UK-5,UK-5PHIGH-P,MP000000000004394,22,0,"2020-11-27 23:00:10",Standard,77.00,54.00,7.00,4.400,英国仓卡板区库位
564-025D,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:22:06",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-025G,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:40:34",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-026B,UK,G536,UK-5,UK-5PHIGH-P,M010000000000932348,91,0,"2020-11-26 00:34:14",Standard,74.00,7.00,7.00,0.810,英国仓卡板区库位
564-026C,UK,G666,UK-5,UK-5PHIGH-P,G666-13028942,31,0,"2021-04-13 17:24:28",Standard,111.50,36.50,7.00,5.350,英国仓卡板区库位
564-026D,UK,G666,UK-5,UK-5PHIGH-P,G666-G13002273,24,0,"2021-07-29 06:52:33",Standard,74.00,38.50,18.50,11.450,英国仓卡板区库位
564-026E,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:26:36",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-026F,UK,G4690,UK-5,UK-5PHIGH-P,G4690-1760202,2,0,"2021-02-23 23:38:18",Standard,68.00,60.00,12.00,10.500,英国仓卡板区库位
564-026G,UK,G1718,UK-5,UK-5PHIGH-P,G1718-901182-0212A,29,0,"2021-01-10 04:41:55",Standard,33.00,24.00,14.00,3.220,英国仓卡板区库位
564-027B,UK,G1080,UK-5,UK-5PHIGH-P,G1080-UK-BCHB041,20,0,"2021-07-29 10:05:03",Standard,53.00,53.00,23.00,8.980,英国仓卡板区库位
564-027C,UK,G536,UK-5,UK-5PHIGH-P,MP000000000006801,94,0,"2021-03-12 19:55:06",Standard,55.00,40.00,8.00,1.300,英国仓卡板区库位
564-027D,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:16:48",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-027E,UK,G536,UK-5,UK-5PHIGH-P,MP000000000010405,40,0,"2021-03-05 12:15:17",Standard,45.00,30.00,20.00,2.000,英国仓卡板区库位
564-027F,UK,G666,UK-5,UK-5PHIGH-P,G666-23004159,90,0,"2021-07-29 09:36:05",Standard,38.00,37.00,9.00,2.523,英国仓卡板区库位
564-027G,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:28:38",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-028B,UK,G666,UK-5,UK-5PHIGH-P,G666-23004159,28,0,"2021-07-29 09:34:16",Standard,38.00,37.00,9.00,2.523,英国仓卡板区库位
564-028C,UK,G1091,UK-5,UK-5PHIGH-P,G1091-ZYDT201909005,1,0,"2020-10-24 15:44:05",Standard,80.00,80.00,15.00,12.000,英国仓卡板区库位
564-028D,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0060B,4,0,"2021-07-07 16:17:52",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
564-028E,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:18:27",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-028F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13002273,24,0,"2021-07-29 07:08:59",Standard,74.00,38.50,18.50,11.450,英国仓卡板区库位
564-029B,UK,G433,UK-5,UK-5PHIGH-P,G433-7704741322,35,0,"2021-01-08 02:39:57",Standard,23.00,17.00,17.00,0.310,英国仓卡板区库位
564-029C,UK,G536,UK-5,UK-5PHIGH-P,M010000000002331694,147,0,"2020-10-26 20:26:18",Standard,19.50,17.00,5.00,0.600,英国仓卡板区库位
564-029D,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000914,10,0,"2021-07-29 09:29:05",Standard,117.00,70.00,13.50,17.550,英国仓卡板区库位
564-029E,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000914,10,0,"2021-07-29 09:26:59",Standard,117.00,70.00,13.50,17.550,英国仓卡板区库位
564-029F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000916,10,0,"2021-07-29 09:24:34",Standard,117.00,70.00,13.50,17.550,英国仓卡板区库位
564-029G,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:13:42",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-030B,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:48:43",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-030C,UK,G536,UK-5,UK-5PHIGH-P,M010000000002045403,90,0,"2020-11-26 00:22:43",Standard,51.00,19.50,19.00,0.980,英国仓卡板区库位
564-030D,UK,G536,UK-5,UK-5PHIGH-P,M010000000001722866,40,0,"2021-03-17 16:08:41",Standard,31.00,30.50,30.50,2.060,英国仓卡板区库位
564-030E,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:51:03",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-030F,UK,G536,UK-5,UK-5PHIGH-P,MP000000000002780,72,0,"2021-03-17 17:59:55",Standard,60.00,33.00,20.00,1.820,英国仓卡板区库位
564-030G,UK,G658,UK-5,UK-5PHIGH-P,G658-RW090620,12,0,"2020-10-26 21:47:44",Standard,120.00,41.00,8.00,5.900,英国仓卡板区库位
564-031B,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:47:00",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-031C,UK,G666,UK-5,UK-5PHIGH-P,G666-G89001094,14,0,"2021-05-25 09:06:40",Standard,83.00,60.00,19.00,9.000,英国仓卡板区库位
564-031D,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000916,10,0,"2021-07-29 09:21:51",Standard,117.00,70.00,13.50,17.550,英国仓卡板区库位
564-031F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:42:50",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-032B,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000063,60,0,"2021-01-23 14:41:30",Standard,52.00,26.00,12.50,3.500,英国仓卡板区库位
564-032C,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:14:39",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-032E,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:45:02",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-032F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:40:35",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-032G,UK,G1091,UK-5,UK-5PHIGH-P,G1091-ZYDC201906015,4,0,"2020-10-26 22:38:20",Standard,67.00,66.00,47.00,19.000,英国仓卡板区库位
564-033B,UK,G1080,UK-5,UK-5PHIGH-P,G1080-UK-BCHB041,20,0,"2021-07-29 09:20:00",Standard,53.00,53.00,23.00,8.980,英国仓卡板区库位
564-033C,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:38:07",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-033D,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:31:42",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-034B,UK,G1091,UK-5,UK-5PHIGH-P,G1091-ZYDC201905001,2,0,"2020-10-26 23:48:56",Standard,65.00,54.00,47.00,18.000,英国仓卡板区库位
564-034C,UK,G536,UK-5,UK-5PHIGH-P,M010000000000191962,221,0,"2021-02-14 08:13:37",Standard,80.50,7.00,7.00,1.530,英国仓卡板区库位
564-034D,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:25:59",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-034E,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000914,10,0,"2021-07-29 09:17:29",Standard,117.00,70.00,13.50,17.550,英国仓卡板区库位
564-034F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:57:25",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-034G,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000916,10,0,"2021-07-29 09:14:47",Standard,117.00,70.00,13.50,17.550,英国仓卡板区库位
564-035B,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:36:30",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-035C,UK,G666,UK-5,UK-5PHIGH-P,G666-G13002273,24,0,"2021-07-29 06:49:48",Standard,74.00,38.50,18.50,11.450,英国仓卡板区库位
564-035D,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:29:35",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-035E,UK,G536,UK-5,UK-5PHIGH-P,M010000000001427379,80,0,"2021-02-02 01:54:25",Standard,30.00,26.00,26.00,1.040,英国仓卡板区库位
564-035F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:59:33",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-035G,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000914,10,0,"2021-07-29 09:11:35",Standard,117.00,70.00,13.50,17.550,英国仓卡板区库位
564-036B,UK,G666,UK-5,UK-5PHIGH-P,G666-G13001811,22,0,"2021-09-29 06:22:44",Standard,42.00,38.00,27.00,20.000,英国仓卡板区库位
564-036C,UK,G4875,UK-5,UK-5PHIGH-P,G4875-TPRMWC20120004,8,0,"2021-03-21 16:02:29",Standard,68.00,59.00,52.50,23.010,英国仓卡板区库位
564-036D,UK,G536,UK-5,UK-5PHIGH-P,M010000000000942084,118,0,"2021-03-17 16:22:18",Standard,24.00,24.00,17.00,0.760,英国仓卡板区库位
564-036F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:01:33",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-036G,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0062A,4,0,"2021-07-07 15:28:58",Standard,84.00,72.00,49.00,24.400,英国仓卡板区库位
564-037B,UK,G1080,UK-5,UK-5PHIGH-P,G1080-UK-BCHB041,20,0,"2021-07-29 09:05:24",Standard,53.00,53.00,23.00,8.980,英国仓卡板区库位
564-037C,UK,G666,UK-5,UK-5PHIGH-P,G666-G13004679,15,0,"2021-09-29 06:29:02",Standard,50.00,40.00,38.00,28.000,英国仓卡板区库位
564-037D,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0062A,4,0,"2021-07-07 15:26:59",Standard,84.00,72.00,49.00,24.400,英国仓卡板区库位
564-037E,UK,G1080,UK-5,UK-5PHIGH-P,G1080-UK-BCHB041,20,0,"2021-07-29 09:03:03",Standard,53.00,53.00,23.00,8.980,英国仓卡板区库位
564-037F,UK,G666,UK-5,UK-5PHIGH-P,G666-G89000826,20,0,"2021-05-26 11:23:50",Standard,117.00,25.50,25.00,8.000,英国仓卡板区库位
564-038B,UK,G536,UK-5,UK-5PHIGH-P,M010000000001738144,71,0,"2021-03-05 12:26:38",Standard,38.00,30.50,11.50,8.300,英国仓卡板区库位
564-038C,UK,G666,UK-5,UK-5PHIGH-P,G666-G13002263,26,0,"2021-07-29 09:01:02",Standard,96.00,39.00,11.00,13.560,英国仓卡板区库位
564-038D,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 11:27:43",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
